Round,Wk,Day,Date,Time,Home,xG,Score,GF,GA,PenF,PenA,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Referee,Match Report
Group stage,3,Wed,23/06/2021,17:00,Sweden,1,3–2,3,2,,,1.5,Poland,"14,252",Gazprom Arena (Neutral Site),Michael Oliver,Match Report,,,
Group stage,3,Wed,23/06/2021,18:00 (17:00),Slovakia,0.1,0–5,0,5,,,3.1,Spain,"11,204",Estadio La Cartuja de Sevilla (Neutral Site),Björn Kuipers,Match Report,,,
Group stage,3,Wed,23/06/2021,21:00 (20:00),Germany,2.2,2–2,2,2,,,0.6,Hungary,"12,413",Allianz Arena (Neutral Site),Sergey Karasev,Match Report,,,
Group stage,3,Wed,23/06/2021,21:00 (20:00),Portugal,1.8,2–2,2,2,,,1.7,France,"54,886",Puskás Aréna (Neutral Site),Antonio Matéu Lahoz,Match Report,,,
Round of 16,,Sat,26/06/2021,18:00 (17:00),Wales,0.7,0–4,0,4,,,2,Denmark,"14,645",Johan Cruyff ArenA (Neutral Site),Daniel Siebert,Match Report,,,
Round of 16,,Sat,26/06/2021,20:00,Italy,1.6,2–1,2,1,,,1.2,Austria,"18,910",Wembley Stadium (Neutral Site),Anthony Taylor,Match Report,Required Extra Time,,
Round of 16,,Sun,27/06/2021,18:00 (17:00),Netherlands,0.9,0–2,0,2,,,1.1,Czech Republic,"52,834",Puskás Aréna (Neutral Site),Sergey Karasev,Match Report,,,
Round of 16,,Sun,27/06/2021,21:00 (20:00),Belgium,0.2,1–0,1,0,,,1.1,Portugal,"11,504",Estadio La Cartuja de Sevilla (Neutral Site),Felix Brych,Match Report,,,
Round of 16,,Mon,28/06/2021,18:00 (17:00),Croatia,2.4,3–5,3,5,,,3.4,Spain,"22,771",Telia Parken (Neutral Site),Cüneyt Çakιr,Match Report,Required Extra Time,,
Round of 16,,Mon,28/06/2021,22:00 (20:00),France,2.9,(4) 3–3 (5),3,3,4,5,1.7,Switzerland,"22,642",Arena Naţională (Neutral Site),Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,,
Round of 16,,Tue,29/06/2021,17:00,England,1,2–0,2,0,,,1.4,Germany,"41,973",Wembley Stadium (Neutral Site),Danny Makkelie,Match Report,,,
Round of 16,,Tue,29/06/2021,20:00,Sweden,1.1,1–2,1,2,,,1.4,Ukraine,"9,221",Hampden Park (Neutral Site),Daniele Orsato,Match Report,Required Extra Time,,
Quarter-finals,,Fri,02/07/2021,19:00 (17:00),Switzerland,1,(1) 1–1 (3),1,1,1,3,3,Spain,"24,764",Gazprom Arena,Michael Oliver,Match Report,Spain won on penalty kicks following extra time,,
Quarter-finals,,Fri,02/07/2021,21:00 (20:00),Belgium,1.7,1–2,1,2,,,1.3,Italy,"12,984",Allianz Arena,Slavko Vinčič,Match Report,,,
Quarter-finals,,Sat,03/07/2021,20:00 (17:00),Czech Republic,1.2,1–2,1,2,,,1.2,Denmark,"16,306",Bakı Olimpiya Stadionu,Björn Kuipers,Match Report,,,
Quarter-finals,,Sat,03/07/2021,21:00 (20:00),Ukraine,0.3,0–4,0,4,,,1.3,England,"11,880",Stadio Olimpico,Felix Brych,Match Report,,,
Semi-finals,,Tue,06/07/2021,20:00,Italy,0.4,(4) 1–1 (2),1,1,4,2,1.7,Spain,"57,811",Wembley Stadium,Felix Brych,Match Report,Italy won on penalty kicks following extra time,,
Semi-finals,,Wed,07/07/2021,20:00,England,2.6,2–1,2,1,,,0.3,Denmark,"64,950",Wembley Stadium,Danny Makkelie,Match Report,Required Extra Time,,
Final,,Sun,11/07/2021,20:00,England,0.4,(2) 1–1 (3),1,1,2,3,2.1,Italy,"67,173",Wembley Stadium,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,,
